지점,지점명,일시,기온(°C)
108,서울,2020-02-04 00:01,-2.9
108,서울,2020-02-04 00:02,-2.9
108,서울,2020-02-04 00:03,-2.8
108,서울,2020-02-04 00:04,-2.8
108,서울,2020-02-04 00:05,-2.8
108,서울,2020-02-04 00:06,-2.8
108,서울,2020-02-04 00:07,-2.8
108,서울,2020-02-04 00:08,-2.8
108,서울,2020-02-04 00:09,-2.8
108,서울,2020-02-04 00:10,-2.8
108,서울,2020-02-04 00:11,-2.7
108,서울,2020-02-04 00:12,-2.7
108,서울,2020-02-04 00:13,-2.8
108,서울,2020-02-04 00:14,-2.7
108,서울,2020-02-04 00:15,-2.8
108,서울,2020-02-04 00:16,-2.8
108,서울,2020-02-04 00:17,-2.8
108,서울,2020-02-04 00:18,-2.7
108,서울,2020-02-04 00:19,-2.8
108,서울,2020-02-04 00:20,-2.8
108,서울,2020-02-04 00:21,-2.8
108,서울,2020-02-04 00:22,-2.8
108,서울,2020-02-04 00:23,-2.8
108,서울,2020-02-04 00:24,-2.8
108,서울,2020-02-04 00:25,-2.8
108,서울,2020-02-04 00:26,-2.8
108,서울,2020-02-04 00:27,-2.9
108,서울,2020-02-04 00:28,-2.9
108,서울,2020-02-04 00:29,-2.9
108,서울,2020-02-04 00:30,-2.9
108,서울,2020-02-04 00:31,-2.9
108,서울,2020-02-04 00:32,-2.9
108,서울,2020-02-04 00:33,-2.8
108,서울,2020-02-04 00:34,-2.9
108,서울,2020-02-04 00:35,-2.9
108,서울,2020-02-04 00:36,-2.9
108,서울,2020-02-04 00:37,-2.9
108,서울,2020-02-04 00:38,-3
108,서울,2020-02-04 00:39,-3
108,서울,2020-02-04 00:40,-3
108,서울,2020-02-04 00:41,-3
108,서울,2020-02-04 00:42,-3.1
108,서울,2020-02-04 00:43,-3.1
108,서울,2020-02-04 00:44,-3.1
108,서울,2020-02-04 00:45,-3.1
108,서울,2020-02-04 00:46,-3.1
108,서울,2020-02-04 00:47,-3.2
108,서울,2020-02-04 00:48,-3.2
108,서울,2020-02-04 00:49,-3.2
108,서울,2020-02-04 00:50,-3.3
108,서울,2020-02-04 00:51,-3.3
108,서울,2020-02-04 00:52,-3.3
108,서울,2020-02-04 00:53,-3.3
108,서울,2020-02-04 00:54,-3.3
108,서울,2020-02-04 00:55,-3.4
108,서울,2020-02-04 00:56,-3.4
108,서울,2020-02-04 00:57,-3.4
108,서울,2020-02-04 00:58,-3.4
108,서울,2020-02-04 00:59,-3.4
108,서울,2020-02-04 01:00,-3.5
108,서울,2020-02-04 01:01,-3.5
108,서울,2020-02-04 01:02,-3.5
108,서울,2020-02-04 01:03,-3.5
108,서울,2020-02-04 01:04,-3.5
108,서울,2020-02-04 01:05,-3.5
108,서울,2020-02-04 01:06,-3.5
108,서울,2020-02-04 01:07,-3.5
108,서울,2020-02-04 01:08,-3.5
108,서울,2020-02-04 01:09,-3.5
108,서울,2020-02-04 01:10,-3.5
108,서울,2020-02-04 01:11,-3.5
108,서울,2020-02-04 01:12,-3.6
108,서울,2020-02-04 01:13,-3.6
