지점,지점명,일시,기온(°C)
108,서울,2020-02-08 00:01,-.1
108,서울,2020-02-08 00:02,-.1
108,서울,2020-02-08 00:03,-.1
108,서울,2020-02-08 00:04,-.1
108,서울,2020-02-08 00:05,-.1
108,서울,2020-02-08 00:06,-.1
108,서울,2020-02-08 00:07,-.1
108,서울,2020-02-08 00:08,-.1
108,서울,2020-02-08 00:09,-.1
108,서울,2020-02-08 00:10,-.1
108,서울,2020-02-08 00:11,-.1
108,서울,2020-02-08 00:12,-.1
108,서울,2020-02-08 00:13,-.1
108,서울,2020-02-08 00:14,-.1
108,서울,2020-02-08 00:15,-.1
108,서울,2020-02-08 00:16,-.1
108,서울,2020-02-08 00:17,-.1
108,서울,2020-02-08 00:18,-.1
108,서울,2020-02-08 00:19,-.1
108,서울,2020-02-08 00:20,-.1
108,서울,2020-02-08 00:21,-.1
108,서울,2020-02-08 00:22,-.1
108,서울,2020-02-08 00:23,-.1
108,서울,2020-02-08 00:24,-.1
108,서울,2020-02-08 00:25,-.1
108,서울,2020-02-08 00:26,-.1
108,서울,2020-02-08 00:27,-.1
108,서울,2020-02-08 00:28,-.1
108,서울,2020-02-08 00:29,-.1
108,서울,2020-02-08 00:30,-.1
108,서울,2020-02-08 00:31,-.1
108,서울,2020-02-08 00:32,-.1
108,서울,2020-02-08 00:33,-.1
108,서울,2020-02-08 00:34,-.1
108,서울,2020-02-08 00:35,-.1
108,서울,2020-02-08 00:36,-.1
108,서울,2020-02-08 00:37,0
108,서울,2020-02-08 00:38,-.1
108,서울,2020-02-08 00:39,-.1
108,서울,2020-02-08 00:40,0
108,서울,2020-02-08 00:41,-.1
108,서울,2020-02-08 00:42,-.1
108,서울,2020-02-08 00:43,0
108,서울,2020-02-08 00:44,0
108,서울,2020-02-08 00:45,0
108,서울,2020-02-08 00:46,0
108,서울,2020-02-08 00:47,0
108,서울,2020-02-08 00:48,0
108,서울,2020-02-08 00:49,0
108,서울,2020-02-08 00:50,0
108,서울,2020-02-08 00:51,0
108,서울,2020-02-08 00:52,0
108,서울,2020-02-08 00:53,0
108,서울,2020-02-08 00:54,0
108,서울,2020-02-08 00:55,0
108,서울,2020-02-08 00:56,0
108,서울,2020-02-08 00:57,0
108,서울,2020-02-08 00:58,0
108,서울,2020-02-08 00:59,0
108,서울,2020-02-08 01:00,0
108,서울,2020-02-08 01:01,0
108,서울,2020-02-08 01:02,0
108,서울,2020-02-08 01:03,0
