지점,지점명,일시,기온(°C)
108,서울,2020-02-10 00:01,.8
108,서울,2020-02-10 00:02,.8
108,서울,2020-02-10 00:03,.8
108,서울,2020-02-10 00:04,.8
108,서울,2020-02-10 00:05,.8
108,서울,2020-02-10 00:06,.8
108,서울,2020-02-10 00:07,.8
108,서울,2020-02-10 00:08,.8
108,서울,2020-02-10 00:09,.8
108,서울,2020-02-10 00:10,.8
108,서울,2020-02-10 00:11,.8
108,서울,2020-02-10 00:12,.8
108,서울,2020-02-10 00:13,.8
108,서울,2020-02-10 00:14,.9
108,서울,2020-02-10 00:15,.9
108,서울,2020-02-10 00:16,.9
108,서울,2020-02-10 00:17,.9
108,서울,2020-02-10 00:18,1
108,서울,2020-02-10 00:19,1
108,서울,2020-02-10 00:20,1
108,서울,2020-02-10 00:21,1
108,서울,2020-02-10 00:22,1
108,서울,2020-02-10 00:23,1
108,서울,2020-02-10 00:24,1.1
108,서울,2020-02-10 00:25,1.1
108,서울,2020-02-10 00:26,1.1
108,서울,2020-02-10 00:27,1.1
108,서울,2020-02-10 00:28,1.1
108,서울,2020-02-10 00:29,1.1
108,서울,2020-02-10 00:30,1.1
108,서울,2020-02-10 00:31,1.1
108,서울,2020-02-10 00:32,1.1
108,서울,2020-02-10 00:33,1.1
108,서울,2020-02-10 00:34,1.1
108,서울,2020-02-10 00:35,1.1
108,서울,2020-02-10 00:36,1.1
108,서울,2020-02-10 00:37,1.1
108,서울,2020-02-10 00:38,1.1
108,서울,2020-02-10 00:39,1.1
108,서울,2020-02-10 00:40,1.1
108,서울,2020-02-10 00:41,1.1
108,서울,2020-02-10 00:42,1.1
108,서울,2020-02-10 00:43,1.1
108,서울,2020-02-10 00:44,1.1
108,서울,2020-02-10 00:45,1.1
108,서울,2020-02-10 00:46,1.1
108,서울,2020-02-10 00:47,1.1
108,서울,2020-02-10 00:48,1.1
108,서울,2020-02-10 00:49,1.1
108,서울,2020-02-10 00:50,1.1
108,서울,2020-02-10 00:51,1.1
108,서울,2020-02-10 00:52,1.1
108,서울,2020-02-10 00:53,1.1
108,서울,2020-02-10 00:54,1.1
108,서울,2020-02-10 00:55,1.1
108,서울,2020-02-10 00:56,1.1
108,서울,2020-02-10 00:57,1.1
108,서울,2020-02-10 00:58,1.1
108,서울,2020-02-10 00:59,1.1
108,서울,2020-02-10 01:00,1.1
108,서울,2020-02-10 01:01,1.2
108,서울,2020-02-10 01:02,1.2
108,서울,2020-02-10 01:03,1.2
108,서울,2020-02-10 01:04,1.2
108,서울,2020-02-10 01:05,1.2
108,서울,2020-02-10 01:06,1.2
108,서울,2020-02-10 01:07,1.2
108,서울,2020-02-10 01:08,1.2
108,서울,2020-02-10 01:09,1.2
108,서울,2020-02-10 01:10,1.2
108,서울,2020-02-10 01:11,1.2
108,서울,2020-02-10 01:12,1.2
108,서울,2020-02-10 01:13,1.2
108,서울,2020-02-10 01:14,1.2
108,서울,2020-02-10 01:15,1.2
108,서울,2020-02-10 01:16,1.2
108,서울,2020-02-10 01:17,1.2
108,서울,2020-02-10 01:18,1.2
108,서울,2020-02-10 01:19,1.2
108,서울,2020-02-10 01:20,1.2
108,서울,2020-02-10 01:21,1.2
108,서울,2020-02-10 01:22,1.2
108,서울,2020-02-10 01:23,1.2
108,서울,2020-02-10 01:24,1.2
108,서울,2020-02-10 01:25,1.1
108,서울,2020-02-10 01:26,1.2
108,서울,2020-02-10 01:27,1.1
108,서울,2020-02-10 01:28,1.1
108,서울,2020-02-10 01:29,1.2
108,서울,2020-02-10 01:30,1.1
108,서울,2020-02-10 01:31,1.1
108,서울,2020-02-10 01:32,1.2
108,서울,2020-02-10 01:33,1.1
108,서울,2020-02-10 01:34,1.2
108,서울,2020-02-10 01:35,1.1
108,서울,2020-02-10 01:36,1.1
108,서울,2020-02-10 01:37,1.1
108,서울,2020-02-10 01:38,1.1
108,서울,2020-02-10 01:39,1.1
108,서울,2020-02-10 01:40,1.1
108,서울,2020-02-10 01:41,1.1
108,서울,2020-02-10 01:42,1.1
108,서울,2020-02-10 01:43,1.1
108,서울,2020-02-10 01:44,1.1
108,서울,2020-02-10 01:45,1.1
108,서울,2020-02-10 01:46,1.1
108,서울,2020-02-10 01:47,1.1
108,서울,2020-02-10 01:48,1.1
108,서울,2020-02-10 01:49,1.1
108,서울,2020-02-10 01:50,1.1
108,서울,2020-02-10 01:51,1.1
108,서울,2020-02-10 01:52,1.1
108,서울,2020-02-10 01:53,1.1
108,서울,2020-02-10 01:54,1.1
108,서울,2020-02-10 01:55,1.1
108,서울,2020-02-10 01:56,1.1
108,서울,2020-02-10 01:57,1
108,서울,2020-02-10 01:58,1.1
108,서울,2020-02-10 01:59,1.1
108,서울,2020-02-10 02:00,1.1
108,서울,2020-02-10 02:01,1.1
108,서울,2020-02-10 02:02,1.1
108,서울,2020-02-10 02:03,1.1
