,연번,등급분류번호,게임물명,신청사,신청일자,결정일자,결정등급,접수번호,등급분류기관
197,72,GC-CC-NP-220819-006,Chenso Club (첸소 클럽),(주) 에이치투인터렉티브,2022-08-11,2022-08-19,15세이용가,GC-DG-NP-22-00238,GCRB
198,73,GC-CC-NP-220819-007,Commandos 3 HD Remaster (코만도스 3 HD 리마스터),(주) 에이치투인터렉티브,2022-08-11,2022-08-19,15세이용가,GC-DG-NP-22-00239,GCRB
199,74,,동해야,인스소프트,2022-08-02,2022-08-04,등급거부,DS-NA-22-00009,GRAC
200,75,,토너먼트 홀덤,주식회사 위미소프트,2022-07-19,2022-08-18,등급거부,DG-OM-22-00109,GRAC
201,1,CC-NA-220901-001,물반고기반Poker,참소프트,2022-06-23,2022-09-01,청소년이용불가,DG-NA-22-00052,GRAC
202,2,CC-NA-220901-002,제우스전설,어뮤즈코리아,2022-07-08,2022-09-01,청소년이용불가,DG-NA-22-00058,GRAC
203,3,CC-NA-220901-003,올림푸스(OLYMPUS),하모니,2022-07-21,2022-09-01,청소년이용불가,DG-NA-22-00062,GRAC
204,4,CC-NA-220901-004,MIni Mini (미니미니 크레인),탑유통,2022-08-10,2022-09-01,전체이용가,DG-NA-22-00064,GRAC
205,5,CC-NP-220901-001,[PC] 저지 아이즈: 사신의 유언,주식회사 세가퍼블리싱코리아,2022-08-08,2022-09-01,청소년이용불가,DG-NP-22-00190,GRAC
206,6,CC-NP-220901-002,엘카인,주식회사 팀퀘스트(TestQueat),2022-08-16,2022-09-01,청소년이용불가,DG-NP-22-00199,GRAC
207,7,CC-NP-220901-003,Wolfenstein: The Old Blood(울펜슈타인: 디 올드 블러드),한국마이크로소프트(유),2022-08-16,2022-09-01,청소년이용불가,DG-NP-22-00201,GRAC
208,8,CC-NP-220901-004,DOOM II(둠 II),한국마이크로소프트(유),2022-08-18,2022-09-01,청소년이용불가,DG-NP-22-00207,GRAC
209,9,CC-NP-220901-005,The Dark Pictures Anthology: The Devil in Me(더 다크 픽처스 앤솔로지: 더 데빌 인 미),반다이남코엔터테인먼트코리아 주식회사,2022-08-26,2022-09-01,청소년이용불가,DG-NP-22-00216,GRAC
210,10,CC-NV-220901-001,Syphon Filter 3 (사이폰 필터 3) ＜PS5＞,(주)소니인터랙티브엔터테인먼트코리아,2022-08-24,2022-09-01,청소년이용불가,DG-NV-22-00028,GRAC
211,11,CC-NV-220901-002,Syphon Filter 3 (사이폰 필터 3) ＜PS4＞,(주)소니인터랙티브엔터테인먼트코리아,2022-08-24,2022-09-01,청소년이용불가,DG-NV-22-00029,GRAC
212,12,CC-OM-220901-001,Piggy GO - Clash of Coin,"HK FOREVER9 TECHNOLOGY CO.,LIMITED",2022-08-02,2022-09-01,12세이용가,DG-OM-22-00129,GRAC
213,13,CC-OM-220901-002,화이트(white)게임,드림 컴퍼니,2022-08-18,2022-09-01,청소년이용불가,DG-OM-22-00146,GRAC
214,14,CC-OM-220901-003,무기미도,ZIYI Group HK Limited.,2022-08-22,2022-09-01,15세이용가,DG-OM-22-00147,GRAC
215,15,CC-OP-220901-001,Eyes in the Dark: The Curious Case of One Victoria Bloom,Gearbox Publishing,2022-08-22,2022-09-01,전체이용가,DG-OP-22-00033,GRAC
216,16,CC-NA-220908-001,아라비안2.2,SSS소프트웨어,2022-07-20,2022-09-08,전체이용가,DG-NA-22-00061,GRAC
217,17,CC-NP-220908-001,베토반 (Betobahn),트립에이드,2022-01-21,2022-09-08,청소년이용불가,DG-NP-22-00014,GRAC
218,18,CC-NP-220908-002,APPLE 게임홀덤,엠G엔터,2022-05-03,2022-09-08,청소년이용불가,DG-NP-22-00103,GRAC
219,19,CC-NP-220908-003,APPLE게임 맞고,엠G엔터,2022-05-03,2022-09-08,청소년이용불가,DG-NP-22-00104,GRAC
220,20,CC-NP-220908-004,APPLE게임 바둑이,엠G엔터,2022-05-03,2022-09-08,청소년이용불가,DG-NP-22-00105,GRAC
221,21,CC-NP-220908-005,매드월드-어둠의 시대,주식회사 잔디소프트,2022-08-17,2022-09-08,청소년이용불가,DG-NP-22-00202,GRAC
